Isolate,Location,Latitude,Longitude,Publication,Sequence_Type,Lab_Isolate,Other_info
16_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
17_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
18_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
19_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
20_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
21_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
22_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
101_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
102_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
103_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
104_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
105_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
106_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
112_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
113_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
1131_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
1136_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
114_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
115_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
116_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
134_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
135_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
1580_DayLab_454,Peru,-9.189967,-75.015152,DayLab_454,,field,
23_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
2329_DayLab_454,Peru,-9.189967,-75.015152,DayLab_454,,field,
253_DayLab_454,Peru,-9.189967,-75.015152,DayLab_454,,field,
28_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
2828_DayLab_454,Peru,-9.189967,-75.015152,DayLab_454,,field,
30_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
31_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
32_Albrecht2010,Brazil,-14.235004,-51.92528,Albrecht2010,,,
