#OTU ID	P3D7.MID46-47.P1.apr13
M00595:42:000000000-A5J1T:1:1110:20112:17548	1
M00595:42:000000000-A5J1T:1:2108:6205:6634	1
M00595:42:000000000-A5J1T:1:2106:11690:22723	1
M00595:42:000000000-A5J1T:1:1104:27751:16910	1
M00595:42:000000000-A5J1T:1:2114:17237:12676	1
M00595:42:000000000-A5J1T:1:2119:19183:15870	1
M00595:42:000000000-A5J1T:1:1117:23038:19097	1
M00595:42:000000000-A5J1T:1:2108:26094:9783	1
M00595:42:000000000-A5J1T:1:2115:15640:5864	1
M00595:42:000000000-A5J1T:1:2118:18045:20155	1
M00595:42:000000000-A5J1T:1:2106:6944:15924	1
M00595:42:000000000-A5J1T:1:1107:14103:11865	1
M00595:42:000000000-A5J1T:1:2108:8188:17404	1
M00595:42:000000000-A5J1T:1:1118:25787:11431	1
M00595:42:000000000-A5J1T:1:2114:17178:19037	1
M00595:42:000000000-A5J1T:1:2109:18336:17119	1
M00595:42:000000000-A5J1T:1:2118:14831:6186	1
M00595:42:000000000-A5J1T:1:2108:16368:4194	1
M00595:42:000000000-A5J1T:1:2104:25483:7054	1
M00595:42:000000000-A5J1T:1:1105:17454:18571	1
M00595:42:000000000-A5J1T:1:1119:25606:13964	1
M00595:42:000000000-A5J1T:1:2116:21123:15064	1
M00595:42:000000000-A5J1T:1:1116:14436:20301	1
M00595:42:000000000-A5J1T:1:1115:14334:16387	1
M00595:42:000000000-A5J1T:1:1113:21740:9565	1
M00595:42:000000000-A5J1T:1:1114:11215:18080	1
M00595:42:000000000-A5J1T:1:1108:9574:18413	1
M00595:42:000000000-A5J1T:1:1106:22378:5955	1
M00595:42:000000000-A5J1T:1:1113:10448:3747	1
M00595:42:000000000-A5J1T:1:2115:7808:14582	1
M00595:42:000000000-A5J1T:1:1109:5890:8510	1
M00595:42:000000000-A5J1T:1:1114:6059:21556	1
M00595:42:000000000-A5J1T:1:2114:16308:12352	1
M00595:42:000000000-A5J1T:1:2108:13256:9470	1
M00595:42:000000000-A5J1T:1:1108:14177:5294	1
M00595:42:000000000-A5J1T:1:1113:18907:3047	1
M00595:42:000000000-A5J1T:1:1119:19586:13926	1
M00595:42:000000000-A5J1T:1:2113:19266:2895	1
M00595:42:000000000-A5J1T:1:1113:18674:12322	1
M00595:42:000000000-A5J1T:1:1104:21518:12869	1
M00595:42:000000000-A5J1T:1:1110:20527:15102	1
M00595:42:000000000-A5J1T:1:2118:24212:12767	1
M00595:42:000000000-A5J1T:1:1113:13495:12077	1
M00595:42:000000000-A5J1T:1:2109:10604:5979	1
M00595:42:000000000-A5J1T:1:2108:8456:4630	1
M00595:42:000000000-A5J1T:1:1109:16015:12670	1
M00595:42:000000000-A5J1T:1:1118:16118:3837	1
M00595:42:000000000-A5J1T:1:1107:21043:20613	1
M00595:42:000000000-A5J1T:1:1110:6792:11099	1
M00595:42:000000000-A5J1T:1:2113:19175:5680	1
