"otu","num_isolates","domain","e-value","type"
"M00595:42:000000000-A5J1T:1:1101:10005:15462",2,"DBLa0.11",1.3e-56,"B/C"
"M00595:42:000000000-A5J1T:1:1101:10067:8874",2,"DBLa0.1",4e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:10117:9498",4,"DBLa0.13",2.1e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1101:10437:11616",3,"DBLa1.8",3.7e-59,"A"
"M00595:42:000000000-A5J1T:1:1101:10814:17522",4,"DBLa0.9",1.4e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:10886:9219",2,"DBLa0.3",3.1e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1101:10998:9966",11,"DBLa0.9",5.6e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1101:11000:11511",3,"DBLa1.2",2.8e-55,"A"
"M00595:42:000000000-A5J1T:1:1101:11169:14161",12,"DBLa0.9",1.9e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:11263:18817",6,"DBLa0.3",1.9e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:11598:6044",2,"DBLa0.8",2.7e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:11996:6878",5,"DBLa1.2",2.8e-53,"A"
"M00595:42:000000000-A5J1T:1:1101:12208:23398",3,"DBLa0.9",5e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:12235:12755",3,"DBLa0.24",5.8e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1101:12261:9057",10,"DBLa0.9",3.8e-47,"B/C"
"M00595:42:000000000-A5J1T:1:1101:12524:7878",2,"DBLa0.11",1.2e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1101:12525:17896",2,"DBLa0.5",7.8e-53,"B/C"
"M00595:42:000000000-A5J1T:1:1101:12528:22436",2,"DBLa0.5",1e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:12599:19116",2,"DBLa0.20",5.6e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:12758:21527",5,"DBLa0.9",1.8e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:12862:15020",3,"DBLa0.1",3.1e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1101:12961:2783",3,"DBLa0.13",4.7e-50,"B/C"
"M00595:42:000000000-A5J1T:1:1101:13034:17248",2,"DBLa0.11",2.4e-59,"B/C"
"M00595:42:000000000-A5J1T:1:1101:13163:18557",2,"DBLa0.1",7.4e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:13369:10829",14,"DBLa1.8",3.3e-57,"A"
"M00595:42:000000000-A5J1T:1:1101:13396:21135",2,"DBLa0.17",1.2e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:13566:5618",2,"DBLa0.8",2e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1101:13827:18168",12,"DBLa1.1",1.3e-52,"A"
"M00595:42:000000000-A5J1T:1:1101:14064:3925",2,"DBLa0.9",2.8e-49,"B/C"
"M00595:42:000000000-A5J1T:1:1101:14149:1934",2,"DBLa0.1",3e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1101:14393:14327",2,"DBLa1.8",5.5e-57,"A"
"M00595:42:000000000-A5J1T:1:1101:14504:4090",2,"DBLa0.1",6e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1101:14646:22556",2,"DBLa0.22",2e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:14672:7223",2,"DBLa0.1",3.9e-57,"B/C"
"M00595:42:000000000-A5J1T:1:1101:14722:8416",3,"DBLa0.21",3.8e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:14741:14034",7,"DBLa1.2",4.7e-51,"A"
"M00595:42:000000000-A5J1T:1:1101:14772:20365",8,"DBLa1.2",7.7e-54,"A"
"M00595:42:000000000-A5J1T:1:1101:14797:1799",23,"DBLa0.8",1.2e-52,"B/C"
"M00595:42:000000000-A5J1T:1:1101:14903:7769",11,"DBLa1.8",2.1e-52,"A"
"M00595:42:000000000-A5J1T:1:1101:14909:12894",2,"DBLa0.12",3.1e-55,"B/C"
"M00595:42:000000000-A5J1T:1:1101:14917:2970",2,"DBLa0.4",1.3e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15012:5558",2,"DBLa0.11",7e-58,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15060:22158",7,"DBLa0.3",1.8e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15100:4064",12,"DBLa1.4",2.2e-48,"A"
"M00595:42:000000000-A5J1T:1:1101:15118:3919",5,"DBLa1.1",5.5e-52,"A"
"M00595:42:000000000-A5J1T:1:1101:15120:14445",19,"DBLa0.18",1.3e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15146:22422",2,"DBLa0.3",1.5e-48,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15224:6907",2,"DBLa0.1",1.8e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15303:16216",3,"DBLa0.23",5e-44,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15355:5460",2,"DBLa0.17",3.2e-46,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15501:4055",2,"DBLa0.1",3e-51,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15535:7689",4,"DBLa0.6",1.6e-45,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15809:6732",2,"DBLa0.19",3e-54,"B/C"
"M00595:42:000000000-A5J1T:1:1101:15840:19805",19,"DBLa0.23",1.9e-47,"B/C"
