read,domain,e-value
M00595:42:000000000-A5J1T:1:1107:14682:11521;sample=PMRS0182.MID15-15.P2.apr13;size=2;,DBLa0.11,4.9e-52
M00595:42:000000000-A5J1T:1:2109:15126:2826;sample=PMRS0110.MID08-10.P2.apr13;size=1;,DBLa0.4,1.1e-56
M00595:42:000000000-A5J1T:1:1119:14614:15138;sample=PMRS0444.MID30-30.P2.apr13;size=1;,DBLa0.12,7.9e-57
M00595:42:000000000-A5J1T:1:2102:11946:9501;sample=PMRS0191.MID15-18.P1.apr13;size=1;,DBLa0.12,5.7e-48
M00595:42:000000000-A5J1T:1:1109:18797:13854;sample=PMRS0541.MID34-36.P2.apr13;size=1;,DBLa0.10,5.8e-52
M00595:42:000000000-A5J1T:1:1102:19742:19023;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.12,6.2e-52
M00595:42:000000000-A5J1T:1:2101:14226:16731;sample=PMRS0412.MID27-29.P2.apr13;size=2;,DBLa0.9,1.6e-51
M00595:42:000000000-A5J1T:1:2104:18638:6715;sample=PMRS0540.MID34-36.P1.apr13;size=1;,DBLa0.11,1.4e-40
M00595:42:000000000-A5J1T:1:1104:5287:13842;sample=PMRS0181.MID15-15.P1.apr13;size=2;,DBLa0.12,2.3e-49
M00595:42:000000000-A5J1T:1:2118:9017:10177;sample=PMRS0423.MID28-28.P2.apr13;size=1;,DBLa0.8,6.3e-50
M00595:42:000000000-A5J1T:1:2103:19680:9017;sample=PMRS0194.MID16-16.P2.apr13;size=1;,DBLa0.9,7.8e-52
M00595:42:000000000-A5J1T:1:2118:22393:16838;sample=PMRS0438.MID29-31.P1.apr13;size=1;,DBLa0.22,4.6e-57
M00595:42:000000000-A5J1T:1:2110:16524:16792;sample=PMRS0506.MID33-35.P2.apr13;size=2;,DBLa0.23,1.9e-45
M00595:42:000000000-A5J1T:1:1106:19226:21795;sample=PMRS0040.MID03-04.P2.apr13;size=1;,DBLa0.8,6.9e-50
M00595:42:000000000-A5J1T:1:2108:11350:20330;sample=PMRS0426.MID28-29.P2.apr13;size=1;,DBLa0.8,8.2e-53
